Paper ID,Publishable,Conference,Rationale
P001,1,emnlp,Limited citations.
P002,1,tmlr,Concise presentation. Good vocabulary diversity. Limited citations.
P003,1,neurips,Limited citations.
P004,0,na,Limited citations.
P005,1,kdd,Good vocabulary diversity. Limited citations.
P006,1,tmlr,Limited citations.
P007,1,emnlp,Good vocabulary diversity. Limited citations.
P008,1,neurips,Concise presentation. Good vocabulary diversity. Limited citations.
P009,1,cvpr,Concise presentation. Good vocabulary diversity. Limited citations.
P010,1,cvpr,Concise presentation. Limited citations.
P011,0,na,Concise presentation. Good vocabulary diversity. Limited citations.
P012,1,kdd,Good vocabulary diversity. Limited citations.
P013,1,cvpr,Limited citations.
P014,1,kdd,Concise presentation. Good vocabulary diversity. Limited citations.
P015,1,cvpr,Concise presentation. Good vocabulary diversity. Limited citations.
P016,1,cvpr,Good vocabulary diversity. Limited citations.
P017,1,neurips,Concise presentation. Good vocabulary diversity. Limited citations.
P018,1,emnlp,Concise presentation. Good vocabulary diversity. Limited citations.
P019,1,emnlp,Concise presentation. Good vocabulary diversity. Limited citations.
P020,1,cvpr,Concise presentation. Good vocabulary diversity. Limited citations.
P021,1,cvpr,Concise presentation. Good vocabulary diversity. Limited citations.
P022,1,emnlp,Concise presentation. Good vocabulary diversity. Limited citations.
P023,0,na,Good vocabulary diversity. Limited citations.
P024,1,tmlr,Good vocabulary diversity. Limited citations.
P025,1,cvpr,Concise presentation. Good vocabulary diversity. Limited citations.
P026,0,na,Good vocabulary diversity. Limited citations. Borderline classification.
P027,1,kdd,Concise presentation. Good vocabulary diversity. Limited citations.
P028,1,neurips,Concise presentation. Good vocabulary diversity. Limited citations.
P029,1,neurips,Concise presentation. Good vocabulary diversity. Limited citations.
P030,1,kdd,Limited citations.
P031,1,neurips,Good vocabulary diversity. Limited citations.
P032,1,cvpr,Concise presentation. Good vocabulary diversity. Limited citations.
P033,0,na,Concise presentation. Good vocabulary diversity. Limited citations.
P034,1,cvpr,Concise presentation. Good vocabulary diversity. Limited citations.
P035,1,cvpr,Good vocabulary diversity. Limited citations.
P036,1,kdd,Limited citations.
P037,1,cvpr,Concise presentation. Good vocabulary diversity. Limited citations.
P038,1,cvpr,Good vocabulary diversity. Limited citations.
P039,1,cvpr,Concise presentation. Good vocabulary diversity. Limited citations.
P040,1,emnlp,Good vocabulary diversity. Limited citations.
